Product_URL,Category
https://www.decathlon.in/p/8841282/men-running-and-trail-running-shoes-kiprun-jf-190-grip-blue-and-orange,Jogging
https://www.decathlon.in/p/8841282/men-running-and-trail-running-shoes-kiprun-jf-190-grip-blue-and-orange,Occasional
https://www.decathlon.in/p/8841282/men-running-and-trail-running-shoes-kiprun-jf-190-grip-blue-and-orange,Running
https://www.decathlon.in/p/8841282/men-running-and-trail-running-shoes-kiprun-jf-190-grip-blue-and-orange,Sport Shoes
https://www.decathlon.in/p/8844091/men-s-hiking-boots-nh50-green,Hiking & Trekking
https://www.decathlon.in/p/8844095/men-s-hiking-boots-nh50-black,Hiking & Trekking
https://www.decathlon.in/p/8844095/men-s-hiking-boots-nh50-black,Occasional
https://www.decathlon.in/p/8844095/men-s-hiking-boots-nh50-black,Sport Shoes
https://www.decathlon.in/p/8844602/men-running-shoes-superior-grip-cushioned-upto-10km-week-jogflow100-blue,Jogging
https://www.decathlon.in/p/8844602/men-running-shoes-superior-grip-cushioned-upto-10km-week-jogflow100-blue,Running
https://www.decathlon.in/p/8851583/men-waterproof-hiking-shoes-low-ankle-with-cushion-comfort-black-mh500,Hiking & Trekking
https://www.decathlon.in/p/8873070/men-s-running-shoes-kiprun-kipcore-grey,Jogging
https://www.decathlon.in/p/8873070/men-s-running-shoes-kiprun-kipcore-grey,Running
https://www.decathlon.in/p/8874411/men-running-shoes-superior-grip-cushioned-upto-20km-week-jogflow-190-1-blue,Jogging
https://www.decathlon.in/p/8874411/men-running-shoes-superior-grip-cushioned-upto-20km-week-jogflow-190-1-blue,Occasional
https://www.decathlon.in/p/8874411/men-running-shoes-superior-grip-cushioned-upto-20km-week-jogflow-190-1-blue,Running
https://www.decathlon.in/p/8883621/men-running-and-trail-running-shoes-kiprun-jf-190-grip-black,Jogging
https://www.decathlon.in/p/8883621/men-running-and-trail-running-shoes-kiprun-jf-190-grip-black,Occasional
https://www.decathlon.in/p/8883621/men-running-and-trail-running-shoes-kiprun-jf-190-grip-black,Running
https://www.decathlon.in/p/8883621/men-running-and-trail-running-shoes-kiprun-jf-190-grip-black,Sport Shoes
https://www.decathlon.in/p/8913737/men-running-shoes-superior-grip-cushioned-upto-10km-week-jogflow100-steel-blue,Jogging
https://www.decathlon.in/p/8913737/men-running-shoes-superior-grip-cushioned-upto-10km-week-jogflow100-steel-blue,Occasional
https://www.decathlon.in/p/8913737/men-running-shoes-superior-grip-cushioned-upto-10km-week-jogflow100-steel-blue,Running
https://www.decathlon.in/p/8913737/men-running-shoes-superior-grip-cushioned-upto-10km-week-jogflow100-steel-blue,Sport Shoes
https://www.decathlon.in/p/8913739/men-running-shoes-superior-grip-cushioned-upto-10km-week-jogflow100-green,Jogging
https://www.decathlon.in/p/8913739/men-running-shoes-superior-grip-cushioned-upto-10km-week-jogflow100-green,Running
https://www.decathlon.in/p/8913740/men-running-shoes-superior-grip-cushioned-upto-10km-week-jogflow-frozen-green,Jogging
https://www.decathlon.in/p/8913740/men-running-shoes-superior-grip-cushioned-upto-10km-week-jogflow-frozen-green,Occasional
https://www.decathlon.in/p/8913740/men-running-shoes-superior-grip-cushioned-upto-10km-week-jogflow-frozen-green,Running
