Product_URL,Category,Gender
https://www.decathlon.in/p/8913926/men-running-and-trail-running-shoes-kiprun-jf-190-grip-silver-grey,Jogging,
https://www.decathlon.in/p/8933795/men-s-badminton-shoes-blue,Occasional,
https://www.decathlon.in/p/8961427/men-s-sports-shoes-essential-icon-black-white,Sport Shoes,
https://www.decathlon.in/p/8983461/men-running-shoes-extremely-breathable-upto-10km-week-jogflow-150-breathe-red,Occasional,
https://www.decathlon.in/p/8983462/men-running-shoes-extremely-breathable-upto-10km-week-jogflow-150-breathe-blue,Occasional,
https://www.decathlon.in/p/8350125/kids-football-socks-f100-white,Kids Footwear,Boys
https://www.decathlon.in/p/8351660/kids-tennis-non-marking-velcro-shoe-dark-blue,Kids Footwear,Boys
https://www.decathlon.in/p/8351800/women-running-shoes-lightweight-run-100-grey,Ordinary,Women
https://www.decathlon.in/p/8367538/women-mid-ankle-winter-shoes-with-waterproofing-black-sh100,Ordinary,Women
https://www.decathlon.in/p/8368186/kids-soft-trainers-water-repellent-rip-tab-shoe-soft-140-blue,Kids Footwear,Boys
https://www.decathlon.in/p/8397090/women-low-ankle-waterproof-hiking-shoes-with-non-slip-outsole-grey-mh100,Ordinary,Women
https://www.decathlon.in/p/8403098/kids-walking-velcro-shoes-100-grey,Kids Footwear,Boys
https://www.decathlon.in/p/8403427/kids-walking-velcro-shoes-100-black,Kids Footwear,Boys
https://www.decathlon.in/p/8486214/kids-unisex-slip-on-shoes-pw-500-fresh-turquoise,Kids Footwear,Boys
https://www.decathlon.in/p/8486647/kids-soft-trainers-water-repellent-rip-tab-shoe-soft-140-smoked-black,Kids Footwear,Boys
https://www.decathlon.in/p/8488757/run-cushion-comfortale-lite-antislip-women-running-shoes-turquoise-green,Ordinary,Women
https://www.decathlon.in/p/8493370/women-water-resistant-mid-ankle-hiking-shoes-blue-grey-nh100,Ordinary,Women
https://www.decathlon.in/p/8495633/kids-football-socks-f100-indigo-blue,Kids Footwear,Boys
https://www.decathlon.in/p/8505239/kids-running-velcro-shoes-at-easy-orange,Kids Footwear,Boys
https://www.decathlon.in/p/8547237/kids-running-velcro-shoes-at-easy-blue,Kids Footwear,Boys
https://www.decathlon.in/p/8553549/women-s-hiking-boots-nh50-grey,Ordinary,Women
https://www.decathlon.in/p/8641509/women-s-warm-and-waterproof-hiking-boots-nh500-mid-burgundy,Ordinary,Women
https://www.decathlon.in/p/8642586/warm-hiking-socks-sh900-mountain-mid-grey,Kids Footwear,Boys
https://www.decathlon.in/p/8646078/kids-tennis-shoes-with-laces-ts500-fast-nightsky,Kids Footwear,Boys
https://www.decathlon.in/p/8649282/women-mid-ankle-hiking-shoes-black-nh100,Ordinary,Women
https://www.decathlon.in/p/8651887/kids-socks-5-pack-patterns,Kids Footwear,Boys
