Product_URL,Product_Name,Brand,Category,Original_Price,Discounted_Price,Rating,Review_Count,Availability,Colors,Sizes
https://www.decathlon.in/p/8665669/men-s-warm-and-waterproof-hiking-boots-mh500-mid-black,"Men’s warm and waterproof hiking boots, MH500 Mid - Black",Men’s,Hiking & Trekking,₹21999,₹399,4.65 | 5.4k,Not Available,Out of Stock,Not Available,Not Available
https://www.decathlon.in/p/8670184/men-running-shoes-comfort-fit-upto-10km-week-run-active-denim-blue,"Men Running Shoes Comfort Fit, Upto 10km/week, Run Active - Denim Blue",Men,Jogging,₹9099,₹199,4.48 | 5.1k,Not Available,Out of Stock,Not Available,Not Available
https://www.decathlon.in/p/8670185/men-running-shoes-comfort-fit-upto-10km-week-run-active-blue-and-brown,"Men Running Shoes Comfort Fit, Upto 10km/week, Run Active - Blue and Brown",Men,Jogging,₹9099,₹199,4.48 | 5.1k,Not Available,Out of Stock,Not Available,Not Available
https://www.decathlon.in/p/8670187/men-running-shoes-comfort-fit-upto-10km-week-run-active-black-and-orange,"Men Running Shoes Comfort Fit, Upto 10km/week, Run Active - Black and Orange",Men,Jogging,₹9099,₹199,4.48 | 5.1k,Not Available,Out of Stock,Not Available,Not Available
https://www.decathlon.in/p/8670191/men-running-shoe-cushioned-foam-sole-and-breathable-jogflow-500-1-carbon-grey,"Men Running Shoe, Cushioned Foam Sole and Breathable JOGFLOW 500.1 - Carbon Grey",Men,Jogging,₹21999,₹399,4.55 | 12k,Not Available,Out of Stock,Not Available,Not Available
https://www.decathlon.in/p/8670196/men-running-shoe-cushioned-foam-sole-and-breathable-jogflow-500-1-black,"Men Running Shoe, Cushioned Foam Sole and Breathable JOGFLOW 500.1 - Black",Men,Jogging,₹21999,₹399,4.55 | 12k,Not Available,Out of Stock,Not Available,Not Available
https://www.decathlon.in/p/8733461/men-running-shoes-superior-grip-cushioned-upto-10km-week-jogflow100-sage-green,"Men Running Shoes Superior Grip Cushioned Upto 10km/week, Jogflow100 -Sage Green",Men,Jogging,₹9099,₹199,4.48 | 5.1k,Not Available,Out of Stock,Not Available,Not Available
https://www.decathlon.in/p/8733464/men-running-shoes-superior-grip-cushioned-upto-10km-week-jogflow100-black,"Men Running Shoes Superior Grip Cushioned Upto 10km/week, Jogflow100 - Black",Men,Jogging,₹9099,₹199,4.48 | 5.1k,Not Available,Out of Stock,Not Available,Not Available
https://www.decathlon.in/p/8733468/men-running-shoes-superior-grip-cushioned-upto-10km-week-jogflow100-red,"Men Running Shoes Superior Grip Cushioned Upto 10km/week, Jogflow100 - Red",Men,Jogging,₹21999,₹199,4.55 | 12k,Not Available,Out of Stock,Not Available,Not Available
https://www.decathlon.in/p/8733469/men-running-shoes-superior-grip-cushioned-upto-10km-week-jogflow100-navy-blue,"Men Running Shoes Superior Grip Cushioned Upto 10km/week, Jogflow100 - Navy Blue",Men,Jogging,₹9099,₹199,4.55 | 12k,Not Available,Out of Stock,Not Available,Not Available
