Product_URL,Category,Gender
https://www.decathlon.in/p/8493370/women-water-resistant-mid-ankle-hiking-shoes-blue-grey-nh100,Ordinary,Women
https://www.decathlon.in/p/8493370/women-water-resistant-mid-ankle-hiking-shoes-blue-grey-nh100,Sport Shoes,Women
https://www.decathlon.in/p/8495633/kids-football-socks-f100-indigo-blue,Kids Footwear,Boys
https://www.decathlon.in/p/8495633/kids-football-socks-f100-indigo-blue,Kids Footwear,Girls
https://www.decathlon.in/p/8505239/kids-running-velcro-shoes-at-easy-orange,Kids Footwear,Boys
https://www.decathlon.in/p/8505239/kids-running-velcro-shoes-at-easy-orange,Kids Footwear,Girls
https://www.decathlon.in/p/8547237/kids-running-velcro-shoes-at-easy-blue,Kids Footwear,Boys
https://www.decathlon.in/p/8547237/kids-running-velcro-shoes-at-easy-blue,Kids Footwear,Girls
https://www.decathlon.in/p/8553549/women-s-hiking-boots-nh50-grey,Ordinary,Women
https://www.decathlon.in/p/8553549/women-s-hiking-boots-nh50-grey,Sport Shoes,Women
https://www.decathlon.in/p/8641509/women-s-warm-and-waterproof-hiking-boots-nh500-mid-burgundy,Ordinary,Women
https://www.decathlon.in/p/8641509/women-s-warm-and-waterproof-hiking-boots-nh500-mid-burgundy,Sport Shoes,Women
https://www.decathlon.in/p/8642586/warm-hiking-socks-sh900-mountain-mid-grey,Kids Footwear,Boys
https://www.decathlon.in/p/8642586/warm-hiking-socks-sh900-mountain-mid-grey,Kids Footwear,Girls
https://www.decathlon.in/p/8646078/kids-tennis-shoes-with-laces-ts500-fast-nightsky,Kids Footwear,Boys
https://www.decathlon.in/p/8646078/kids-tennis-shoes-with-laces-ts500-fast-nightsky,Kids Footwear,Girls
https://www.decathlon.in/p/8649282/women-mid-ankle-hiking-shoes-black-nh100,Ordinary,Women
https://www.decathlon.in/p/8649282/women-mid-ankle-hiking-shoes-black-nh100,Sport Shoes,Women
https://www.decathlon.in/p/8651887/kids-socks-5-pack-patterns,Kids Footwear,Boys
https://www.decathlon.in/p/8651888/kids-socks-5-pack-patterns,Kids Footwear,Boys
https://www.decathlon.in/p/8664339/kids-lace-up-tennis-shoes-essential-white-yellow,Kids Footwear,Boys
https://www.decathlon.in/p/8664339/kids-lace-up-tennis-shoes-essential-white-yellow,Kids Footwear,Girls
https://www.decathlon.in/p/8664341/kids-lace-up-essential-tennis-shoes-black-blue,Kids Footwear,Boys
https://www.decathlon.in/p/8664341/kids-lace-up-essential-tennis-shoes-black-blue,Kids Footwear,Girls
https://www.decathlon.in/p/8664396/women-waterproof-hiking-shoes-mid-ankle-with-cushion-comfort-green-mh500,Ordinary,Women
https://www.decathlon.in/p/8664396/women-waterproof-hiking-shoes-mid-ankle-with-cushion-comfort-green-mh500,Sport Shoes,Women
https://www.decathlon.in/p/8669461/kids-mid-rise-beginner-basketball-shoes-se100-black,Kids Footwear,Boys
https://www.decathlon.in/p/8669461/kids-mid-rise-beginner-basketball-shoes-se100-black,Kids Footwear,Girls
https://www.decathlon.in/p/8733480/women-running-shoes-lightweight-cushioned-upto-10km-week-jogflow-100-1-black,Ordinary,Women
https://www.decathlon.in/p/8733480/women-running-shoes-lightweight-cushioned-upto-10km-week-jogflow-100-1-black,Sport Shoes,Women
https://www.decathlon.in/p/8756995/women-s-warm-and-waterproof-hiking-boots-mh500-mid-black,Ordinary,Women
https://www.decathlon.in/p/8756995/women-s-warm-and-waterproof-hiking-boots-mh500-mid-black,Sport Shoes,Women
https://www.decathlon.in/p/8757341/women-running-shoes-superior-grip-cushioned-upto-20km-week-jogflow-190-1-blue,Ordinary,Women
https://www.decathlon.in/p/8757341/women-running-shoes-superior-grip-cushioned-upto-20km-week-jogflow-190-1-blue,Sport Shoes,Women
https://www.decathlon.in/p/8757342/women-running-shoes-superior-grip-cushioned-upto-20km-week-jogflow-190-1-lilac,Ordinary,Women
https://www.decathlon.in/p/8757342/women-running-shoes-superior-grip-cushioned-upto-20km-week-jogflow-190-1-lilac,Sport Shoes,Women
https://www.decathlon.in/p/8771309/kids-rip-tab-essential-kd-tennis-shoes-black-blue,Kids Footwear,Boys
https://www.decathlon.in/p/8771309/kids-rip-tab-essential-kd-tennis-shoes-black-blue,Kids Footwear,Girls
https://www.decathlon.in/p/8774167/women-walking-shoes-superior-grip-lightweight-slip-on-shoes-pw-160-black,Ordinary,Women
https://www.decathlon.in/p/8774167/women-walking-shoes-superior-grip-lightweight-slip-on-shoes-pw-160-black,Sport Shoes,Women
https://www.decathlon.in/p/8800119/women-s-warm-and-waterproof-snow-hiking-boots-nh900-brown-leather,Ordinary,Women
https://www.decathlon.in/p/8800119/women-s-warm-and-waterproof-snow-hiking-boots-nh900-brown-leather,Sport Shoes,Women
